local_time,sex,event,round,startlist_url,results_url,summary_url,points_url,pos,bib,name,country,mark
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,1,29,Brian Daniel PINTADO,ECU,01:18:55
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,2,15,Caio BONFIM,BRA,01:19:09
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,3,33,Álvaro MARTÍN,ESP,01:19:11
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,4,55,Massimo STANO,ITA,01:19:12
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,5,18,Evan DUNFEE,CAN,01:19:16
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,6,35,Wakuma MISGANA,ETH,1:19:31 NR
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,7,57,Koki IKEDA,JPN,01:19:41
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,8,59,Yuta KOGA,JPN,01:19:50
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,9,38,Aurélien QUINION,FRA,1:19:56 PB
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,10,23,Jun ZHANG,CHN,01:19:56
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,11,14,Declan TINGAY,AUS,1:19:56 SB
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,12,10,Rhydian COWLEY,AUS,01:20:04
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,13,63,Noel CHAMA,MEX,1:20:19 NR
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,14,65,Ricardo ORTIZ,MEX,01:20:27
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,15,27,David HURTADO,ECU,01:20:30
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,16,39,Callum WILKINSON,GBR,01:20:31
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,17,34,Paul MCGRATH,ESP,01:20:32
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,18,56,Ryo HAMANISHI,JPN,01:20:33
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,19,42,Christopher LINKE,GER,01:20:35
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,20,53,Francesco FORTUNATO,ITA,01:20:38
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,21,74,Perseus KARLSTRÖM,SWE,01:21:05
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,22,61,Samuel Kireri GATHIMBA,KEN,1:21:26 SB
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,23,41,Leo KÖPP,GER,01:21:36
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,24,37,Gabriel BORDIER,FRA,01:21:40
08:00,M,20 Kilometres Race Walk,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/20-kilometres-race-walk/final/result#resultheader,,,25,28,Jordy Rafael JIMÉNEZ ARROBO,ECU,01:21:44
